name,address,city,phone,email,website,category
Nông Sản Hanfimex Group - Công Ty Cổ Phần Tập Đoàn Hanfimex Việt Nam,"Tầng 19, Tòa Nhà VTC Online, Số 18 Tam Trinh, Q. Hai Bà Trưng, ",Hà Nội,(024) 32003356                                ,export@hanfimex.com                               ,http://www.hanfimex.com,
Công Ty TNHH Xuất Nhập Khẩu Trần Duy Hưng,"25/3 Gia Yên Gia Tân 3, H. Thống Nhất, ",Đồng Nai,(061) 3867103                                 ,cashew@xnktranduyhung.com                         ,,
Công Ty CP á Châu Tài Nguyên - ACC,"R.02.02E, Tòa nhà PRIME, 37 Hoàng Văn Thụ, P.15, Q. Phú Nhuận, ",Tp. Hồ Chí Minh (TPHCM),(028) 39482999                                ,admin@asiacommodities.com.vn                      ,http://asiacommodities.com.vn,
Công Ty TNHH MTV Thương Mại Dịch Vụ Hoàng Long Đỉnh,"81/7 Hồ Văn Huê, P. 9, Q. Phú Nhuận, ",Tp. Hồ Chí Minh (TPHCM),0918643709                              ,trahoanglongdinh@gmail.com                        ,http://hoanglongdinh.znn.vn,
Công Ty Cổ Phần Visimex,"VP Hà Nội: Tòa nhà NIC GROUP, Số 108 Lò Đúc, Q. Hai Bà Trưng, ",Hà Nội,(024) 39765905                                ,sales.hcm@visimex. com                            ,http://www.visimex.com,
Nông Sản Online - Công Ty TNHH Thương Mại Nông Sản Online,"11/30B Đường số 28, Phường 6, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),(028) 39847963                                ,nongsanonline@gmail.com                           ,http://nongsanonline.com.vn,
Công Ty CP Nông Nghiệp Và Thực Phẩm Hà Nội - Kinh Bắc,"Số 8, Lô TT03, KĐT Hải Đăng City, Ngõ 2, Đ. Hàm Nghi, P. Mỹ Đình 2, Q. Nam Từ Liêm, ",Hà Nội,(024) 37877290                                ,sales@hkb.com.vn                                  ,http://hakinvest.com.vn,
G.C Food - Công Ty Cổ Phần Thực Phẩm G.C,"Số 304 Ung Văn Khiêm, P. 25, Q. Bình Thạnh, ",Tp. Hồ Chí Minh,0898920468                              ,info@gcfood.com.vn                                ,http://gcfood.com.vn,
Công Ty Cổ Phần XNK Hạt Điều Và Hàng Nông Sản Thực Phẩm Tp. HCM,"458B Nguyễn Tất Thành, P. 18, Q. 4, ",Tp. Hồ Chí Minh (TPHCM),(028) 39404928                                ,vinalimex@hcm.vnn.vn                              ,http://www.vinalimex.com.vn,
Công Ty Cổ Phần Xuất Nhập Khẩu Imtex Việt Nam,"Tầng 9, Tòa Nhà Hoàng Sâm, Số 260 Phố Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng, ",Hà Nội,(024) 39440909                                ,export@imtex.com.vn                               ,http://www.imtex.com.vn,
Công Ty CP á Châu Tài Nguyên - ACC,"R.02.02E, Tòa nhà PRIME, 37 Hoàng Văn Thụ, P.15, Q. Phú Nhuận, ",Tp. Hồ Chí Minh (TPHCM),(028) 39482999                                ,admin@asiacommodities.com.vn                      ,http://asiacommodities.com.vn,
Công Ty TNHH Thảo Nguyên,"Khu Phố Thị Vải, Phường Mỹ Xuân, TX Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu ",Bà Rịa-Vũng Tàu,(0254) 3894809                                 ,thaonguyen.co.ltd@hcm.fpt.vn                      ,http://thaonguyen.com.vn,
Công Ty Cổ Phần Xuất Khẩu Nông Sản Phía Nam,"Thôn 6, Xã Nam Dong, Huyện Cư Jút, ",Đắk Nông,0943798755                              ,nongsanphianam@gmail.com                          ,http://www.nongsanphianam.vn,
Công Ty TNHH Thương Mại H&T Việt Nam,"302 Bà Triệu, Q. Hai Bà Trưng, ",Hà Nội,(024) 32021777                                ,info@htvietnamtrading.com                         ,http://htvietnamtrading.com.vn,
Công Ty TNHH Asia Commodities,"28-30 Lam Sơn, P. 6, Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),(028) 35100774                                ,asiacommodites@gmail.com                          ,http://asiacom.vn,
Công Ty Cổ Phần Hà Mỵ,"Cụm Công Nghiệp Hà Mỵ, ấp 4, X. Tân Lập, H. Đồng Phú, ",Bình Phước,(0271) 3871888                                 ,sales@hamyco.com.vn                               ,http://www.hamyco.com.vn,
Công Ty TNHH Hải Long,"61 Trần Ngọc Lên, Khu Phố 4, P. Định Hòa, TP. Thủ Dầu Một, ",Bình Dương,(0274) 6569888                                 ,tran.t.ngoc.han@gmail.com                         ,,
Công ty TNHH MTV Nông Sản Hồng Đức Phát,"Tổ 2, Ấp Tân Thành, X. Thanh Bình, H. Trảng Bom, ",Đồng Nai,"0769692169,  0355696035                 ",mrhong.hongducphat@gmail.com                      ,,
Công Ty TNHH XNK Nhà Nông,"Số 135 Tân Bình, Tân Phú, Châu Thành, ",Đồng Tháp,(0277) 3979979                                 ,sales@houseofagro.com                             ,http://houseofagro.com,
Công Ty TNHH Thương Mại Dịch Vụ Triệu Kim,"Số 42/6 Nguyễn Minh Hoàng, P.12, Q. Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),(028) 38105292                                ,trieukimco@gmail.com                              ,http://trieukim.com,
Africa Golden Nuts,"Đường Romuald Trudeau, Thành Phố Montreal, QC H4N 2X5 ",Quebec,(+1) 4389371631                              ,golden@africagoldennuts.com                       ,http://africagoldennuts.com,
Công ty TNHH Đức Cường,"Xóm Chùa Tổng, X. La Phù, H. Hoài Đức, ",Hà Nội,(024) 33651527                                ,thuhien1268@gmail.com                             ,http://duccuongcompanylimited.com,
Hạt Điều Nhà Lê - Công Ty TNHH SX TM DV XNK Le Garden,"Số 43 Nguyễn Văn Mại, P. 4, Q. Tân Bình ",Tp. Hồ Chí Minh (TPHCM),0962934525                              ,lesgarden123@gmail.com                            ,http://hatdieu.org,
Công Ty TNHH Nam Vạn Long,"Số 29/15 Khu Phố Đông, Phường Vĩnh Phú, Thị Xã Thuận An, ",Bình Dương,(0274) 7300027                                 ,info@namvanlong.com                               ,http://namvanlong.com,
Công Ty TNHH Nhà Nước MTV Xuất Nhập Khẩu Sản Phẩm Cơ Khí Việt Nam,"Tòa Nhà IBC, 35-37 Tràng Thi, Q. Hoàn Kiếm, ",Hà Nội,(024) 38244138                                ,mecahn@fpt.vn                                     ,http://www.mecanimex.com.vn,
Công Ty TNHH Sản Xuất Kinh Doanh Thái Bình Dương,"Tổ 40, Khu Phố Bầu ké, Thị Trấn Tân Phú, Huyện Đồng Phú, ",Bình Phước,0944966989                              ,dieuxk@congtythaibinhduong.com                    ,http://pacificproductionco.com,
Công Ty TNHH Thương Mại Xuất Nhập Khẩu Việt Nông,"57-59 Hồ Tùng Mậu, P. Bến Nghé, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),0978595363                              ,xnkvietnong@gmail.com                             ,http://vietnong.vn,
Công Ty TNHH Sản Xuất & Thương Mại Trường Xuân,"Số Nhà 366, Đường Lê Thái Tông, P. Bồ Xuyên, Tp. Thái Bình, ",Thái Bình,Hotline: 0164 8866 312                  ,truongxuan@gmail.com                              ,,
Công ty cổ phần Cội Nguồn Cà Phê Việt,"Km26, Quốc Lộ 26, Huyện Krông pắc, ",Đắc Lắc,(0262) 2225345                                 ,cadavina@ymail.com                                ,http://cada.com.vn,
Công Ty TNHH Partnerup,"Tầng 6, Tòa Nhà Thái An, Số 2290 Quốc Lộ 1A, P. Trung Mỹ Tây, Q. 12, ",Tp. Hồ Chí Minh (TPHCM),0909432477                              ,hello@partnerup.vn                                ,http://partnerup.vn,
Công Ty TNHH Xuất Nhập Khẩu Bigitexco,"Tầng 1, Tòa Nhà Packsimex, 52 Đông Du, P. Bến Nghé, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 22109707                                ,info@bigitexco.com                                ,http://bigitexco.com,
Công Ty TNHH Thương Mại Đức Thuận,"1 Nguyễn Văn Lượng, P. 17, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),(028) 38942124                                ,ducthuan@hcm.vnn.vn                               ,,
Công Ty TNHH Thương Mại Dịch Vụ Dũ Thành,"91 Đường 75, Khu Định Cư Tân Quy Đông, P. Tân Phong, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),(028) 37755888                                ,dt@duthanh.com                                    ,http://duthanh.com,
