#,name,address,city,phone,email,website,category
26,Công Ty Xi Măng Nghi Sơn - VPĐD,"Phòng 801, Tầng 8, Tòa Nhà Mặt Trời Sông Hồng, 23 Phan Chu Trinh, Q. Hoàn Kiếm, ",Hà Nội,(024) 39330912                                ,trangnhung@nghison.com.vn                         ,http://www.nghison.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
27,Công Ty Cổ Phần Xi Măng Công Thanh,"Thôn Tam Sơn, Xã Tân Trường, Thị xã Nghi Sơn, ",Thanh Hóa,0903719090                              ,contact@congthanhgroup.com                        ,http://congthanhgroup.com,Xi Măng - Sản Xuất và Kinh Doanh
28,Fico Tây Ninh - Công Ty Cổ Phần Xi Măng Fico Tây Ninh,"Tầng 6, 9-19 Hồ Tùng Mậu, P. Nguyễn Thái Bình, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 38212873                                , ,http://tafico.vn,Xi Măng - Sản Xuất và Kinh Doanh
29,Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Phú Đô Thị,"007 ấp 1B, X. Phước Thái, H. Long Thành, ",Tp. Hồ Chí Minh (TPHCM),(028) 0933846566                              ,tammynguyen.urban@gmail.com                       ,,Xi Măng - Sản Xuất và Kinh Doanh
30,Công Ty CP Sản Xuất Xây Dựng Hưng Long Phước,"Lô B4, KCN Hiệp Phước, X. Hiệp Phước, H. Nhà Bè, ",Tp. Hồ Chí Minh (TPHCM),(028) 62819006                                ,longnguyen@hunglongphuoc.vn                       ,http://hunglongphuoc.vn,Xi Măng - Sản Xuất và Kinh Doanh
31,Công Ty TNHH Huy Phát,"Quốc lộ 1A, TT Sơn Tịnh, Huyện Sơn Tịnh, ",Quảng Ngãi,(0255) 53842176                                ,huyphat.qng@gmail.com                             ,,Xi Măng - Sản Xuất và Kinh Doanh
32,Thùng Phuy Trường Thắng - Công Ty TNHH TM XNK Trường Thắng,"Số 106/9, Đường ĐX 042, Tổ 20, Khu 5, P. Phú Mỹ, TP. Thủ Dầu Một, ",Bình Dương,0347 739 004                            ,kinhdoanh.truongthang@gmail.com                   ,http://atq.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
33,Công Ty TNHH Xây Dựng Thương Mại Xi Măng,"54 Ngõ 8, P. Trung Phụng, Q. Đống Đa, ",Hà Nội,(024) 38515141                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
34,Vận Tải Hùng Đạt - Công Ty Cổ Phần Vận Tải Hùng Đạt,"79 Hoàng Diệu, Tây Lộc, TP. Huế, ",Thừa Thiên Huế,(0234) 3558558                                 ,hungdatjsc@gmail.com                              ,http://vantaihungdat.com,Xi Măng - Sản Xuất và Kinh Doanh
35,Bột Thạch Anh Hoàng Tùng - Công Ty TNHH Hoàng Tùng Bắc Ninh,"Thôn Trác Bút, Thị Trấn Chờ, Huyện Yên Phong, Bắc Ninh ",Bắc Ninh,0978 297 610                            , ,http://botthachanhhoangtungbacninh.bizz.vn,Xi Măng - Sản Xuất và Kinh Doanh
36,Công Ty Xi Măng Lavica,"142 Cao Lỗ, Q. 8, ",Tp. Hồ Chí Minh (TPHCM),0936 899 411                            , ,http://www.LavicaCement.com,Xi Măng - Sản Xuất và Kinh Doanh
37,A R Mines Industries,"Lô Đất Số 21, 22, 23 & D-3/15, KCN Kakoda, Đường Sanguem, Kakoda, , ",Curchorem-Goa,9011230235                              ,arminesind@gmail.com                              ,http://arminesind.com,Xi Măng - Sản Xuất và Kinh Doanh
38,Công Ty TNHH Tài Nguyên Đông Sơn,"Số 24 Lô 6, Đường Trung Yên, Q. Cầu Giấy, ",Hà Nội,0945017758                              ,general@dongsonresources.com                      ,http://dongsonresources.com,Xi Măng - Sản Xuất và Kinh Doanh
39,Công Ty CP TM Xi Măng Trắng Thái Bình,"Tầng 4-5 Tòa Nhà 19M1, KĐT Yên Hòa, Q. Cầu Giấy, ",Hà Nội,(024) 66839666                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
40,Hà Tiên 1 - Công Ty Cổ Phần Xi Măng Hà Tiên 1,"360 Bến Chương Dương, P. Cầu Kho, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 38368363                                ,hatien1@hatien1.com.vn                            ,http://www.hatien1.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
41,Nghĩa Thành - Công Ty TNHH Nghĩa Thành,"100 Bình Giã, P. 8, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,(0254) 3859396                                 ,nghiathanh100@yahoo.com                           ,http://www.nghiathanh.com,Xi Măng - Sản Xuất và Kinh Doanh
42,Công Ty TNHH Quốc Tế Vũ Phát,"Số 54, Đường Số 8, KP. 2, P. An Lạc, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),0976487878                              ,levanvu@gmail.com                                 ,http://vuphat.com,Xi Măng - Sản Xuất và Kinh Doanh
43,Công Ty TNHH Xi Măng INSEE,"Lầu 9&10, Fideco Tower 81-83-83B-85 Hàm Nghi, P. Nguyễn Thái Bình, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 62628989                                ,khanhtruong102@gmail.com                          ,http://vungxaycuocsong.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
44,Tổng Công Ty Công Nghiệp Xi Măng Việt Nam - VICEM,"228 Lê Duẩn, ",Hà Nội,(024) 8512425                                 ,vanphong@vicem.vn                                 ,http://www.vicem.vn,Xi Măng - Sản Xuất và Kinh Doanh
45,Keo Dán Joinmax - Công Ty TNHH Hiệp Hòa,"Số 3/27 Đường Đại Cồ Việt, Q. Hai Bà Trưng, ",Hà Nội,(024) 39952242                                ,hiephoaxd@gmail.com                               ,http://keodangachda.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
46,Công Ty TNHH Huy Phát,"Quốc lộ 1A, TT Sơn Tịnh, Huyện Sơn Tịnh, ",Quảng Ngãi,(0255) 53842176                                ,huyphat.qng@gmail.com                             ,,Xi Măng - Sản Xuất và Kinh Doanh
47,Công Ty TNHH Xây Dựng Thương Mại Xi Măng,"54 Ngõ 8, P. Trung Phụng, Q. Đống Đa, ",Hà Nội,(024) 38515141                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
48,Hà Tiên 1 - Công Ty Cổ Phần Xi Măng Hà Tiên 1,"360 Bến Chương Dương, P. Cầu Kho, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 38368363                                ,hatien1@hatien1.com.vn                            ,http://www.hatien1.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
49,Tổng Công Ty Công Nghiệp Xi Măng Việt Nam - VICEM,"228 Lê Duẩn, ",Hà Nội,(024) 8512425                                 ,vanphong@vicem.vn                                 ,http://www.vicem.vn,Xi Măng - Sản Xuất và Kinh Doanh
50,Công Ty TNHH Xi Măng INSEE,"Lầu 9&10, Fideco Tower 81-83-83B-85 Hàm Nghi, P. Nguyễn Thái Bình, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 62628989                                ,khanhtruong102@gmail.com                          ,http://vungxaycuocsong.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
51,Vận Tải Hùng Đạt - Công Ty Cổ Phần Vận Tải Hùng Đạt,"79 Hoàng Diệu, Tây Lộc, TP. Huế, ",Thừa Thiên Huế,(0234) 3558558                                 ,hungdatjsc@gmail.com                              ,http://vantaihungdat.com,Xi Măng - Sản Xuất và Kinh Doanh
52,Công Ty TNHH MTV TM Hóa Chất Lan Kiều,"Ô 35 DC23, KDC Việt Sing, KP. 4, P. An Phú, TX. Thuận An, ",Bình Dương,(0274) 3764958                                 ,zhouhong5515@gmail.com                            ,,Xi Măng - Sản Xuất và Kinh Doanh
53,Công Ty TNHH Vật Liệu Xây Dựng Hưng Gia Bình,"265 Nguyễn Hữu Thọ, P. Hòa Cường Bắc, Q. Hải Châu, ",Tp. Đà Nẵng,0935090252                              ,lienhe@vatlieuxaydung24h.vn                       ,http://vatlieuxaydung24h.vn,Xi Măng - Sản Xuất và Kinh Doanh
54,Công Ty TNHH Xây Dựng TM DV Phúc Nhơn,"99 - 101 Thống Nhất, P. Đạo Long, TP. Phan Rang - Tháp Chàm, ",Ninh Thuận,(0259) 3824780                                 ,vlxdphucnhon@gmail.com                            ,http://vlxdphucnhon.com,Xi Măng - Sản Xuất và Kinh Doanh
55,Công Ty Cổ Phần Thép & Đầu Tư Thụy Sĩ,"61 Nguyễn Phước Tần, P. Hòa Thọ Đông, Q. Cẩm Lệ, ",Tp. Đà Nẵng,(0236) 2816146                                 ,thuysisteel@gmail.com                             ,http://thuysisteel.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
56,Vật Liệu Xây Dựng Hoàng Minh Cường - Công Ty TNHH SX & TM Hoàng Minh Cường,"Số 15, Ấp Hòa Phú, X. An Hòa, H. Trảng Bàng, ",Tây Ninh,"(0276) 3882078, 0909 907 479                   ",hoangminhcuongtn@gmail.com                        ,http://vatlieuxaydungtayninh.bizz.vn,Xi Măng - Sản Xuất và Kinh Doanh
57,Công Ty TNHH MTV Công Nghiệp Gỗ Tây Nam,"Khu 1, TT. Mỹ Phước, Huyện Tân Phước ",Tiền Giang,(0273) 3633838                                 ,nhaphanphoi@gmail.com                             ,,Xi Măng - Sản Xuất và Kinh Doanh
58,Công Ty TNHH VLXD Minh Khang Khánh Hòa,"177 Ngô Gia Tự, Tp. Nha Trang, ",Khánh Hòa,"(0258) 3515032, Hotline: 0913.489.467          ",vlxdquocthien332@gmail.com                        ,http://vatlieuxaydungminhkhang.bizz.vn,Xi Măng - Sản Xuất và Kinh Doanh
59,Công Ty TNHH Vạn Phước Ban Mê,"474 Võ  Văn Kiệt, P. Khánh Xuân, TP. Buôn Ma Thuột, ",Đắc Lắc,0326595959                              ,vanphuocbanme@gmail.com                           ,,Xi Măng - Sản Xuất và Kinh Doanh
60,Công Ty  TNHH Thương Mại Vật Liệu Xây Dựng Đại Trường Giang,"C5/ 16P, Ấp 3,  X. Vĩnh Lộc, H. Bình Chánh, ",Tp. Hồ Chí Minh (TPHCM),0932107789                              ,daitruonggiang462@gmail.com                       ,http://daitruonggiang.com,Xi Măng - Sản Xuất và Kinh Doanh
61,Công Ty Cổ Phần Vật Liệu Xây Dựng DUFAGO,"233 Điện Biên Phủ, P. Hòa Khê, Q. Thanh Khê ",Tp. Đà Nẵng,(0236) 3737973                                 ,info@pacificdinco.com.vn                          ,http://pacificdinco.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
62,Công Ty TNHH Quốc Tế Hùng Anh,"28 Mạc Đĩnh Chi, P. Đa Kao, Q. 1, ",TP. Hồ Chí Minh (TPHCM),"(028) 39390868, 0938 070 538                  ",hungnt@hunganhtrading.vn                          ,http://www.hunganhtrading.vn,Xi Măng - Sản Xuất và Kinh Doanh
63,Công Ty TNHH Công Nghệ Chống Thấm Vichan,"Số 17, Ngõ 25 Đờng Đoàn Kết, P. Biên Giang, Q. Hà Đông ",Hà Nội,0982134534                              ,hoangtuansotin@gmail.com                          ,http://chongthamvichan.com,Xi Măng - Sản Xuất và Kinh Doanh
64,GTS Pacific Việt Nam,"9FL, Tòa Nhà AB, 76A Lê Lai, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),0907603517                              ,admin@gtspacific.com                              ,http://gtspacific.com,Xi Măng - Sản Xuất và Kinh Doanh
65,Công Ty TNHH Việt Hương,"QL 1, X. Hòa Châu, H. Hòa Vang, ",Tp. Đà Nẵng,(0236) 3684999                                 ,quangdn2012@gmail.com                             ,http://viethuongceramic.vn,Xi Măng - Sản Xuất và Kinh Doanh
66,Nguyên Phong - Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ Nguyên Phong,"155/19 Đinh Bộ Lĩnh, P. 26, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),(028) 38984174                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
67,Nghi Xuân - Công Ty TNHH Thương Mại Nghi Xuân,"151/8C Ung Văn Khiêm, P. 25, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),(028) 38997300                                ,thuytran@nghixuan.com                             ,,Xi Măng - Sản Xuất và Kinh Doanh
68,Hùng Cường - Công Ty Cổ Phần Thương Mại Hùng Cường,"230 Lý Thường Kiệt, P. 14, Q. 10, ",Tp. Hồ Chí Minh (TPHCM),(028) 38638888                                ,hungcuong@hungcuong.com.vn                        ,http://www.hungcuong.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
69,Doanh Nghiệp Tư Nhân Thanh Sương,"263 Núi Thành, Q. Hải Châu, ",Tp. Đà Nẵng,(0236) 3628630                                 , ,,Xi Măng - Sản Xuất và Kinh Doanh
70,Chấn Long - Công Ty TNHH Chấn Long,"351 Võ Thị Sáu (A1), TT. Long Điền, H. Long Điền, ",Bà Rịa-Vũng Tàu,(0254) 3862093                                 , ,,Xi Măng - Sản Xuất và Kinh Doanh
71,Công Ty Cổ Phần Nam Toàn Phát,"211/27 Hoàng Hoa Thám, P. 5, Q. Phú Nhuận, ",Tp. Hồ Chí Minh (TPHCM),(028) 35154072                                ,namtoanphathcm@gmail.com                          ,,Xi Măng - Sản Xuất và Kinh Doanh
72,Công Ty CP Thương Mại Vận Tải Vinship,"109 Đường Nguyễn Thị Xiếu, P. Bình Thuận, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),(028) 66522599                                ,"shipping@biendongship.com, shipping@vinship.com   ",http://www.vinship.com,Xi Măng - Sản Xuất và Kinh Doanh
73,Công Ty TNHH Tư Vấn Dịch Vụ Doanh Nghiệp ADZ,"Số 27, Ngõ 7, Phố An Hòa, P. Mộ Lao, Q. Hà Đông, ",Hà Nội,0986746750                              ,tuvandoanhnghiepadz@gmail.com                     ,http://luatadz.vn,Xi Măng - Sản Xuất và Kinh Doanh
74,Vật Liệu Xây Dựng Tấn Đạt,"144 Nguyễn Văn Trỗi, P.Tân Thạnh, TP.Tam Kỳ, ",Quảng Nam,(0235) 3813 818                                ,thuanphan160677@gmail.com                         ,,Xi Măng - Sản Xuất và Kinh Doanh
75,Công Ty TNHH VW Resources,"Số 1, đường số 81, P. Tân Quy, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),(028) 37754075                                ,Trade@carrigold.com                               ,,Xi Măng - Sản Xuất và Kinh Doanh
76,Chi Nhánh - Công Ty Xi Măng Chinfon Hải Phòng,"Tầng 6, Tòa Nhà 3D, Lô C2K, Cụm Công Nghiệp Cầu Giấy, P. Dịch Vọng Hậu, Q. Cầu Giấy, ",Hà Nội,(024) 39430235                                ,hp@cfc.vn                                         ,http://www.cfc.vn/cfc/VN_CNT.aspx,Xi Măng - Sản Xuất và Kinh Doanh
77,Công Ty TNHH TM Thu Hương,"296 Phan Bội Châu, P. Lê Hồng Phong, TP. Quy Nhơn, ",Bình Định,(0256) 3811611                                 ,congtytnhhthuhuong@gmail.com                      ,,Xi Măng - Sản Xuất và Kinh Doanh
78,Công Ty TNHH Lê Lê - Vi,"Số 1135, Đường Phạm Văn Thuận, P. Tân Mai, TP. Biên Hòa, ",Đồng Nai,0945809797                              ,ctytnhhlelevi@gmail.com                           ,,Xi Măng - Sản Xuất và Kinh Doanh
79,Công Ty TNHH Vân Trinh,"176-178 Đường ỷ Lan, TP. Quy Nhơn, ",Bình Định,(0256) 3821153                                 ,ctyvantrinh@yahoo.com                             ,http://vantrinh.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
80,Đoàn Ngọc Hào - Công Ty TNHH Đoàn Ngọc Hào,"653 Quang Trung, Tp. Quảng Ngãi, ",Quảng Ngãi,(0255) 3823860                                 ,ctydoanngochao@yahoo.com                          ,,Xi Măng - Sản Xuất và Kinh Doanh
81,Công Ty Cổ Phần Thương Mại Ngọc Khánh,"9 Đồng Khởi, P. 7, Tp. Tuy Hòa, ",Phú Yên,(0257) 3842920                                 ,ngockhanhpy@dng.vnn.vn                            ,,Xi Măng - Sản Xuất và Kinh Doanh
82,Công Ty Cổ Phần Thành Luân,"279B Đội Cấn, Ba Đình, ",Hà Nội,(024) 62736188                                ,thanhluan.co@gmail.com                            ,,Xi Măng - Sản Xuất và Kinh Doanh
83,Công Ty TNHH Thương Mại Xây Dựng Thiên Vạn Phát,"257/20B Nguyễn Thị Thập, P. Tân Phú, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),(028) 62620906                                ,info@thienvanphat.com                             ,http://www.thienvanphat.com,Xi Măng - Sản Xuất và Kinh Doanh
84,Hà Tiên - Công Ty Cổ Phần Xi Măng Hà Tiên,"X. Bình An, H. Kiên Lương, ",Kiên Giang,"(0297) 3759360, 3759356                        ",ximanghatien@vnn.vn                               ,,Xi Măng - Sản Xuất và Kinh Doanh
85,Công ty Xi Măng COSEVCO 19,"Quốc Lộ 14B, X. Hòa Khương, H. Hòa Vang, ",Tp. Đà Nẵng,(0236) 3780329                                 ,xm19.xm19@cosevco.vn                              ,,Xi Măng - Sản Xuất và Kinh Doanh
86,Công Ty Cổ Phần Vật Tư Vận Tải Xi Măng,"21B Cát Linh, Q. Đống Đa, ",Hà Nội,(024) 38232109                                ,vtvxm@vnn.vn                                      ,http://www.vtvxm.vn,Xi Măng - Sản Xuất và Kinh Doanh
87,Công Ty CP Vật Tư Tổng Hợp Vĩnh Phú,"2316 Đại Lộ Hùng Vương, P. Vân Cơ, Tp. Việt Trì, ",Phú Thọ,(0210) 3810333                                 ,"phongkinhdoanhvmc@gmail.com, vmcco@hn.vnn.vn      ",http://vmcco.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
88,Công Ty CP Tập Đoàn Thủ Đô,"Số 85 Ngụy Như Kon Tum, P. Nhân Chính, Q. Thanh Xuân, ",Hà Nội,(024) 32216800                                , ,http://tapdoanthudo.com,Xi Măng - Sản Xuất và Kinh Doanh
89,Công Ty Việt Hoa Liên Doanh Xi Măng,"Quốc Lộ 1A, X. Tân Ngãi, ",Vĩnh Long,(0270) 3815136                                 , ,,Xi Măng - Sản Xuất và Kinh Doanh
90,Phương Nga - Công Ty TNHH Thương Mại Xây Dựng Sản Xuất Phương Nga,"41 Nguyễn Văn Tráng, P. Bến Thành, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 39257071                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
91,Công ty TNHH Kinh Doanh Trung Việt,"55 Thanh Niên, P.  Quang Trung, TP. Quy Nhơn, ",Bình Định,(0256) 3823636                                 ,trungnamdntn@gmail.com                            ,,Xi Măng - Sản Xuất và Kinh Doanh
92,Công Ty Cổ Phần Xi Măng Bỉm Sơn,"Phường Ba Đình, TX. Bỉm Sơn, ",Thanh Hóa,(0237) 3824242                                 , ,http://www.ximangbimson.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
93,Công Ty Cổ Phần Xi Măng Hạ Long,"Thôn 2, X. Thống Nhất, H. Hoành Bồ, ",Quảng Ninh,(0203) 3699240                                 , ,http://ximanghalong.vn,Xi Măng - Sản Xuất và Kinh Doanh
94,Phương Nga - Công Ty TNHH Thương Mại Xây Dựng Sản Xuất Phương Nga,"41 Nguyễn Văn Tráng, P. Bến Thành, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 39257071                                , ,,Xi Măng - Sản Xuất và Kinh Doanh
95,Chemiprotect Engineers,"Lô Đất Số 2114, Đoạn 3, Khu Công Nghiệp G.I.D.C, Vatva, Ahmedabad - 38244, Ấn Độ ",Hà Nội,(79) 25891689                                ,chemiprotect@gmail.com                            ,http://www.acidproofindia.com,Xi Măng - Sản Xuất và Kinh Doanh
96,Vật Liệu Xây Dựng Thuận Bến Thành - Công Ty TNHH Thương Mại Tân Thuận Bến Thành,"Toà Nhà Thăng Long ViNa, Số 371 Nguyễn Kiệm, P. 3, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),"0356282828, 0372383838                  ",tanthuanbenthanh@gmail.com                        ,http://thepxaydungbenthanh.com,Xi Măng - Sản Xuất và Kinh Doanh
